mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p
175.0241_0.753,15139.50325,47049.98941666666,0.32177484921255023,0.0225,-1.6358765293429534,1.6478174818886375
178.0524_2.721,324902.76766666665,830387.66,0.3912663727043663,0.0149,-1.3537769714039547,1.826813731587726
345.1554_4.506,73540.64616666666,421011.15691666666,0.1746762406612968,0.038,-2.5172447076470887,1.4202164033831899
345.1933_4.201,1794.0847291666666,9608.890208333334,0.18671091981160762,0.0227,-2.4211217886550167,1.6439741428068773
361.1499_3.066,4733.858433333334,11561.536625,0.40944889826297926,0.0072,-1.2882446889869077,2.1426675035687315
369.0829_3.476,7117.090491666667,14655.174241666668,0.4856367023895085,0.0383,-1.042050636320128,1.4168012260313771
413.1426_4.51,11491.792466666666,54483.128424999995,0.21092387311213154,0.0302,-2.245205701172084,1.5199930570428493
427.197_3.64,2546.7444416666667,11669.6018,0.2182374759065615,0.0248,-2.1960292312545784,1.6055483191737838
427.197_4.049,3903.6980750000002,16460.28355,0.2371586165658732,0.0481,-2.076075808797454,1.3178549236261683
572.2105_4.512,778.7664558333333,2465.4343766666666,0.3158739341041583,0.0162,-1.6625792039887466,1.790484985457369
691.3179_4.171,1110.95886,7395.745570833334,0.15021593825256754,0.0179,-2.73489020069006,1.747146969020107
