Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
331.2276,17ahprgstrn,M+H [1+],4.919,0.000841999999977361,EC0001
331.2294,17ahprgstrn,M+H [1+],4.533,0.00264199999998027,EC0002
191.0212,56dihindlcrbxlt,M-H [1-],0.699,0.00120668620002107,EC0003
465.2493,5adtststeroneglc,M-H [1-],6.146,7.69999999761239e-05,EC0004
465.2493,ahandrostanglc,M-H [1-],6.146,7.69999999761239e-05,EC0004
236.1018,alpam,M-H [1-],5.033,0.000453686600025094,EC0005
465.2493,andrstrnglc,M-H [1-],6.146,7.69999999761239e-05,EC0004
328.0474,C00020,M-H2O-H [1-],0.665,0.00268999999997277,EC0006
191.0523,C00021,M-2H [2-],0.699,0.00122400000000766,EC0007
191.0524,C00021,M-2H [2-],0.713,0.00112400000000434,EC0007
146.0456,C00025,M-H [1-],0.708,0.000324000000006208,EC0008
166.0723,C00025,M+H2O+H [1+],0.669,0.00122353322998947,EC0008
145.0141,C00026,M-H [1-],0.693,0.000123999999999569,EC0009
191.0203,C00026,M+HCOO [1-],0.697,0.00115499999998292,EC0009
205.0352,C00026,M+CH3COO [1-],0.76,0.000405000000000655,EC0009
215.0163,C00026,M+HCOONa [1+],0.719,0.000123533230009798,EC0009
161.0454,C00031,M-H2O-H [1-],0.768,0.000390000000010104,EC00010
179.0556,C00031,M-H [1-],0.643,0.000524000000012848,EC00010
181.0704,C00031,M+H [1+],2.671,0.000275999999985288,EC00011
181.0717,C00031,M+H [1+],0.801,0.00102400000000102,EC00010
195.0514,C00031,M-H+O [1-],2.765,0.000366466770003626,EC00011
225.0623,C00031,M+HCOO [1-],0.658,0.00125499999998624,EC00010
175.0241,C00072,M-H [1-],0.753,0.000724000000019487,EC00012
191.0203,C00072,M-H+O [1-],0.697,0.000566466769981844,EC00012
191.0212,C00072,M-H+O [1-],0.699,0.0014664667699833,EC00012
177.102,C00078,M-CO+H [1+],0.741,0.000176466770000161,EC00013
205.097,C00078,M+H [1+],0.801,0.000175999999981968,EC00013
205.0971,C00078,M+H [1+],2.931,7.59999999786487e-05,EC00014
263.1041,C00078,M+CH3COO [1-],2.759,0.000905000000045675,EC00014
263.10416,C00078,M+CH3COO [1-],2.796,0.000965000000007876,EC00014
263.1054,C00078,M+CH3COO [1-],2.91,0.00220500000000357,EC00014
149.0596,C00079,M-NH3+H [1+],0.765,0.000176466770028583,EC00015
166.0862,C00079,M+H [1+],0.727,7.60000000070704e-05,EC00015
166.0863,C00079,M+H [1+],2.395,2.39999999962492e-05,EC00016
61.0395,C00086,M+H [1+],0.663,0.000176000000003285,EC00017
109.0294,C00090,M-H [1-],3.11,0.000123999999999569,EC00018
111.0439,C00090,M+H [1+],0.81,0.00017600000001039,EC00019
111.044,C00090,M+H [1+],2.998,7.60000000070704e-05,EC00018
179.0556,C00095,M-H [1-],0.643,0.000524000000012848,EC00010
181.0704,C00095,M+H [1+],2.671,0.000275999999985288,EC00011
181.0717,C00095,M+H [1+],0.801,0.00102400000000102,EC00010
195.0514,C00095,M-H+O [1-],2.765,0.000366466770003626,EC00011
225.0623,C00095,M+HCOO [1-],0.658,0.00125499999998624,EC00010
121.0283,C00108,M-NH3+H [1+],0.799,0.00017646676998595,EC00021
138.0551,C00108,M+H [1+],0.654,0.000124000000027991,EC00021
182.0458,C00108,M+HCOO [1-],0.803,0.000455000000016526,EC00021
131.0349,C00121,M-H2O-H [1-],0.8,0.000490000000013424,EC00022
149.0452,C00121,M-H [1-],0.654,0.000324000000006208,EC00022
165.0405,C00121,M-H+O [1-],0.634,6.64667700220889e-05,EC00022
165.0409,C00121,M-H+O [1-],0.76,0.000466466770006946,EC00022
195.051,C00121,M+HCOO [1-],0.627,0.000554999999991423,EC00022
179.0556,C00124,M-H [1-],0.643,0.000524000000012848,EC00010
181.0704,C00124,M+H [1+],2.671,0.000275999999985288,EC00011
181.0717,C00124,M+H [1+],0.801,0.00102400000000102,EC00010
195.0514,C00124,M-H+O [1-],2.765,0.000366466770003626,EC00011
225.0623,C00124,M+HCOO [1-],0.658,0.00125499999998624,EC00010
347.0424,C00130,M-H [1-],0.697,0.00257599999997637,EC00023
154.0621,C00135,M-H [1-],0.609,0.000124000000027991,EC00024
