mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
121.0284_3.689,27325.237205356792,8589.753945331555,3.1811431828274643,0.00665,1.6695453088488907,2.1771783546968955,121.0284,3.689,8852.434000000001,121.0284_3.689,121.0284_3.689,1
234.1122_4.883,5932.891525927148,854.9270478991921,6.939646535345925,2.94e-7,2.7948621823006463,6.531652669587842,234.1122,4.883,4621.157999999999,234.1122_4.883,234.1122_4.883,1
250.1107_3.546,8966.392901120586,2521.9129262477563,3.55539352996667,1.13e-6,1.830009253883999,5.94692155651658,250.1107,3.546,6807.92885,250.1107_3.546,250.1107_3.546,1
255.0655_5.039,14560.69824743463,693.6810281841105,20.990480719288264,6e-6,4.391663302174487,5.221848749616356,255.0655,5.039,505.438,255.0655_5.039,255.0655_5.039,1
271.0596_4.449,19979.056864329465,1243.866687778706,16.062056376803543,1.33e-8,4.005584703477219,7.876148359032914,271.0596,4.449,1143.0925499999998,271.0596_4.449,271.0596_4.449,1
292.1575_3.656,32364.17075712369,9124.523633545572,3.5469436057066517,3.84e-5,1.8265763924625207,4.4156687756324695,292.1575,3.656,21780.752999999997,292.1575_3.656,292.1575_3.656,1
316.1385_4.504,34174.69798519915,1001.981501778981,34.10711467679118,5.51e-6,5.092000808866794,5.258848401148215,316.1385,4.504,1386.22345,316.1385_4.504,316.1385_4.504,1
416.3517_5.027,10715.882268129046,5203.257817204681,2.0594563338177783,0.0367,1.042263537397043,1.4353339357479107,416.3517,5.027,4771.1792000000005,416.3517_5.027,416.3517_5.027,1
431.0964_3.273,43843.616592431645,2361.826550847705,18.563436242468917,1.08e-6,4.214391884615175,5.966576244513051,431.0964,3.273,1490.925,431.0964_3.273,431.0964_3.273,1
431.0966_3.757,102926.21607875718,3737.114508050281,27.541627599860625,7.57e-7,4.783541914377071,6.120904120499927,431.0966,3.757,1892.23695,431.0966_3.757,431.0966_3.757,1
431.0972_4.035,56210.07419953099,1952.7329102727863,28.785336644773782,1.19e-6,4.847262179572094,5.924453038607469,431.0972,4.035,1487.4128999999998,431.0972_4.035,431.0972_4.035,1
432.3465_4.852,7655.576038398587,3751.753750395429,2.040532654253148,0.015,1.028945797953098,1.8239087409443189,432.3465,4.852,3460.8855,432.3465_4.852,432.3465_4.852,1
433.1121_3.884,53514.43200185913,1401.4641360425353,38.18466033171107,3.49e-7,5.254921285296666,6.45717457304082,433.1121,3.884,1116.98505,433.1121_3.884,433.1121_3.884,1
433.1123_3.32,19484.23855835939,989.7756823251864,19.68550946067589,1.5e-7,4.29906214479248,6.823908740944319,433.1123,3.32,1062.49665,433.1123_3.32,433.1123_3.32,1
435.1282_4.891,59475.739550430546,694.1469755504032,85.68176718377404,1.09e-8,6.420916330822581,7.962573502059376,435.1282,4.891,504.51829999999995,435.1282_4.891,435.1282_4.891,1
447.0916_4.229,20502.488375340945,934.6999642179896,21.93483380786712,3.51e-8,4.455151870518532,7.454692883534176,447.0916,4.229,1057.3181,447.0916_4.229,447.0916_4.229,1
449.1046_3.633,4743.944178407766,753.7498027979175,6.29379160140176,1.15e-5,2.6539294092366266,4.939302159646388,449.1046,3.633,1152.04495,449.1046_3.633,449.1046_3.633,1
449.1059_4.17,18152.627297938903,4305.848936366342,4.215806816775533,0.00235,2.0758087590848433,2.6289321377282637,449.1059,4.17,4419.77585,449.1059_4.17,449.1059_4.17,1
461.1074_3.814,104915.41964855173,1418.8432306552195,73.9443353442945,8.22e-8,6.208367725866645,7.0851281824599495,461.1074,3.814,505.438,461.1074_3.814,461.1074_3.814,1
461.1078_3.304,38854.040234999906,1189.112205159976,32.67483090863803,2.05e-8,5.030107865019759,7.688246138944246,461.1078,3.304,505.8067,461.1078_3.304,461.1078_3.304,1
595.3478_5.049,41646.88607214729,10876.745688867335,3.8289840788292113,0.0022,1.93696166137849,2.657577319177794,595.3478,5.049,11684.8325,595.3478_5.049,595.3478_5.049,1
